CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
886582913,12/27/2015,6:01:00,12/27/2015,6:15:00,12/27/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,RESIDENCE-HOUSE,,,916170,121611,40.50021598,-74.24479549,(40.500215976 / -74.244795485)
943328243,12/26/2015,19:30:00,12/26/2015,20:00:00,12/27/2015,344,ASSAULT 3 & RELATED OFFENSES,114,OBSTR BREATH/CIRCUL,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,916170,121611,40.50021598,-74.24479549,(40.500215976 / -74.244795485)
341248014,8/15/2015,8:00:00,8/15/2015,8:00:00,12/28/2015,340,FRAUDS,718,FRAUD UNCLASSIFIED-MISDEMEANOR,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,915932,122520,40.50270918,-74.24566042,(40.50270918 / -74.245660419)
870475298,12/30/2015,14:40:00,12/30/2015,15:00:00,12/30/2015,359,OFFENSES AGAINST PUBLIC ADMINI,749,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,RESIDENCE-HOUSE,,,919766,122680,40.50317703,-74.23187565,(40.503177034 / -74.231875648)
786875087,12/22/2015,11:00:00,12/23/2015,11:05:00,12/30/2015,578,HARRASSMENT 2,638,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,STREET,,,915181,123302,40.50484981,-74.24836884,(40.504849807 / -74.248368836)
739715284,12/18/2015,0:01:00,12/30/2015,0:01:00,12/31/2015,112,THEFT-FRAUD,739,FRAUD UNCLASSIFIED-FELONY,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,917262,124917,40.50929863,-74.24090171,(40.509298625 / -74.240901711)
266492298,12/3/2015,8:15:00,12/3/2015,8:25:00,12/30/2015,578,HARRASSMENT 2,637,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,OTHER,,,920048,125212,40.51012894,-74.23088562,(40.510128937 / -74.230885624)
668900991,12/30/2015,13:30:00,12/30/2015,13:45:00,12/30/2015,578,HARRASSMENT 2,638,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,CHAIN STORE,,,914928,125757,40.51158634,-74.24930373,(40.511586338 / -74.249303727)
851953821,12/28/2015,17:15:00,12/28/2015,17:20:00,12/28/2015,352,CRIMINAL TRESPASS,205,TRESPASS 2  CRIMINAL,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,RESIDENCE-HOUSE,,,914928,125757,40.51158634,-74.24930373,(40.511586338 / -74.249303727)
454247838,12/27/2015,9:30:00,12/27/2015,15:00:00,12/27/2015,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESTAURANT/DINER,,,914928,125757,40.51158634,-74.24930373,(40.511586338 / -74.249303727)
930250505,12/26/2015,0:00:00,12/27/2015,10:00:00,12/27/2015,351,CRIMINAL MISCHIEF & RELATED OF,259,CRIMINAL MISCHIEF UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,RESIDENCE-HOUSE,,,914928,125757,40.51158634,-74.24930373,(40.511586338 / -74.249303727)
159308130,12/22/2015,15:00:00,12/22/2015,18:00:00,12/26/2015,341,PETIT LARCENY,339,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,914928,125757,40.51158634,-74.24930373,(40.511586338 / -74.249303727)
299065472,12/25/2015,14:00:00,,,12/25/2015,578,HARRASSMENT 2,638,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,914928,125757,40.51158634,-74.24930373,(40.511586338 / -74.249303727)
814110689,12/23/2015,22:00:00,12/24/2015,2:00:00,12/28/2015,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,918898,126110,40.51258538,-74.23502992,(40.512585381 / -74.235029916)
741667576,12/30/2015,1:30:00,12/30/2015,1:33:00,12/30/2015,344,ASSAULT 3 & RELATED OFFENSES,114,OBSTR BREATH/CIRCUL,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,918425,126983,40.5149781,-74.23673947,(40.514978102 / -74.236739465)
360294329,12/25/2015,17:34:00,12/25/2015,18:02:00,12/25/2015,107,BURGLARY,211,BURGLARY COMMERCIAL DAY,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,VARIETY STORE,,,919271,127245,40.51570348,-74.23369938,(40.515703478 / -74.233699375)
708426099,12/23/2015,1:00:00,12/23/2015,7:30:00,12/23/2015,341,PETIT LARCENY,339,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,OTHER,,,929163,129255,40.52128747,-74.19813913,(40.52128747 / -74.198139134)
791508782,12/26/2015,22:15:00,12/26/2015,22:21:00,12/26/2015,235,DANGEROUS DRUGS,567,MARIJUANA  POSSESSION 4 & 5,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,OPPOSITE OF,GAS STATION,,,918922,129652,40.52230767,-74.23497778,(40.522307665 / -74.234977775)
784853563,10/1/2015,8:00:00,10/24/2015,16:00:00,12/29/2015,341,PETIT LARCENY,339,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,DOCTOR/DENTIST OFFICE,,,917740,129965,40.52315801,-74.23923233,(40.523158008 / -74.239232329)
752272352,12/27/2015,15:00:00,12/27/2015,23:50:00,12/28/2015,107,BURGLARY,221,BURGLARY RESIDENCE DAY,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,928859,132116,40.52913848,-74.19925597,(40.529138475 / -74.19925597)
595822654,12/24/2015,17:00:00,12/25/2015,17:00:00,12/25/2015,578,HARRASSMENT 2,638,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,RESIDENCE-HOUSE,,,930870,132728,40.53083063,-74.19202678,(40.530830625 / -74.192026776)
231021221,7/6/2015,0:01:00,12/19/2015,23:59:00,12/29/2015,109,GRAND LARCENY,420,LARCENY GRAND BY OPEN/COMPROMISE CELL PHONE ACCT,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,926906,133019,40.53160463,-74.206289,(40.531604627 / -74.206288997)
539906708,12/26/2015,21:10:00,12/26/2015,21:30:00,12/26/2015,351,CRIMINAL MISCHIEF & RELATED OF,259,CRIMINAL MISCHIEF UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,RESIDENCE-HOUSE,,,922797,133221,40.53213157,-74.22107236,(40.532131565 / -74.221072362)
436537842,12/26/2015,20:00:00,,,12/26/2015,578,HARRASSMENT 2,638,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,RESIDENCE-HOUSE,,,922797,133221,40.53213157,-74.22107236,(40.532131565 / -74.221072362)
437129348,12/1/2015,9:00:00,,,12/29/2015,112,THEFT-FRAUD,739,FRAUD UNCLASSIFIED-FELONY,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,942438,134475,40.53568787,-74.15042378,(40.535687873 / -74.150423777)
316668378,12/27/2015,4:30:00,12/27/2015,5:00:00,12/27/2015,578,HARRASSMENT 2,638,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,123,,STREET,,,929638,134558,40.53584612,-74.19647344,(40.535846124 / -74.196473435)
283828013,12/24/2015,6:00:00,12/24/2015,6:10:00,12/24/2015,359,OFFENSES AGAINST PUBLIC ADMINI,749,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,922200,134672,40.53611012,-74.2232333,(40.536110122 / -74.223233301)
